frame,leader_x,leader_y,f1_x,f1_y
0,-4.284084e-08,-5.1877578e-08,-1.4342368e-07,-1.5
1,0.0034175403,-2.3368193e-07,0.0034265453,-1.5000024
2,0.0067994613,-8.027491e-07,0.006805553,-1.5000025
3,0.0103217,7.3402043e-07,0.010317353,-1.5000005
4,0.01391227,-3.7405698e-08,0.013907021,-1.5000014
5,0.017375302,-5.492693e-07,0.01737101,-1.5000018
6,0.020757683,-8.026327e-07,0.020746633,-1.500004
7,0.024274481,6.880655e-07,0.024268225,-1.5000008
8,0.027850853,-1.6577324e-06,0.027844781,-1.5000035
9,0.031307634,-9.955984e-07,0.03130394,-1.5000035
10,0.034667403,-3.9851584e-06,0.034673475,-1.5000058
11,0.038200624,-1.240689e-06,0.038202923,-1.5000019
12,0.041775413,-4.907619e-06,0.04176695,-1.5000044
13,0.045231037,-4.434005e-06,0.04524085,-1.5000048
14,0.048602372,-6.55224e-06,0.04862131,-1.500005
15,0.052088015,-5.104316e-06,0.05214007,-1.500003
16,0.05564869,-8.047216e-06,0.055715896,-1.5000049
17,0.059109032,-8.261311e-06,0.05916453,-1.5000054
18,0.062487796,-1.0831944e-05,0.06255267,-1.5000064
19,0.06599489,-1.1194374e-05,0.06605222,-1.5000056
20,0.069572344,-1.2461234e-05,0.06964032,-1.5000069
21,0.073036134,-1.43032885e-05,0.07310124,-1.5000076
22,0.07641666,-1.6016776e-05,0.07650208,-1.5000081
23,0.079932824,-1.5563332e-05,0.08000691,-1.5000061
24,0.083498634,-1.7334714e-05,0.0835866,-1.5000079
25,0.08696304,-1.8935294e-05,0.08705008,-1.5000082
26,0.09034321,-1.813734e-05,0.090447396,-1.5000095
27,0.09385964,-1.7043109e-05,0.09395826,-1.5000081
28,0.09743495,-1.7805964e-05,0.09754178,-1.5000082
29,0.100890465,-1.7743376e-05,0.10100507,-1.5000092
30,0.10426168,-2.003619e-05,0.10440625,-1.5000093
31,0.10777745,-1.750754e-05,0.10790545,-1.500009
32,0.11135124,-1.9669948e-05,0.1114883,-1.5000098
33,0.11481958,-2.0302927e-05,0.11495055,-1.5000107
34,0.11820754,-2.0751213e-05,0.11834702,-1.5000117
35,0.1217202,-1.843048e-05,0.12184842,-1.5000104
36,0.12530206,-1.9695093e-05,0.12543002,-1.5000106
37,0.12875293,-1.909655e-05,0.12890132,-1.500014
38,0.13216226,-2.0525713e-05,0.1323191,-1.5000141
39,0.13566639,-2.0481486e-05,0.1358178,-1.5000132
40,0.13926321,-1.8188679e-05,0.13938208,-1.5000126
41,0.14269513,-1.880424e-05,0.14286655,-1.5000118
42,0.14609954,-1.8805564e-05,0.14625137,-1.500012
43,0.14960623,-1.852126e-05,0.14977166,-1.500011
44,0.15319161,-1.6642378e-05,0.15333052,-1.5000138
45,0.15665796,-1.9071631e-05,0.15677418,-1.5000137
46,0.16004008,-1.8240215e-05,0.16017821,-1.5000142
47,0.16356628,-1.5806232e-05,0.1636799,-1.5000132
48,0.16714863,-1.692227e-05,0.16726866,-1.5000112
49,0.17063007,-1.891004e-05,0.17072928,-1.5000145
50,0.17401168,-1.8589395e-05,0.17411683,-1.5000148
51,0.17754492,-1.5721977e-05,0.17762884,-1.5000132
52,0.18112102,-1.6378879e-05,0.18120573,-1.5000148
53,0.18459639,-1.7178689e-05,0.18466622,-1.5000155
54,0.18797942,-1.6818514e-05,0.18807136,-1.5000156
55,0.19150063,-1.398653e-05,0.1915673,-1.5000136
56,0.19507557,-1.4473691e-05,0.19515428,-1.5000117
57,0.1985407,-1.5882993e-05,0.198614,-1.5000142
58,0.20191427,-1.9932952e-05,0.2019697,-1.5000156
59,0.20543547,-1.6247286e-05,0.20551309,-1.5000116
60,0.20900606,-1.6841594e-05,0.20907398,-1.5000123
61,0.21248104,-1.617294e-05,0.2125462,-1.5000137
62,0.21586978,-1.6319973e-05,0.21591975,-1.5000149
63,0.21939124,-1.2410921e-05,0.21944341,-1.5000123
64,0.22295773,-1.4353187e-05,0.22302333,-1.5000116
65,0.22643313,-1.4336772e-05,0.22648227,-1.5000124
66,0.22981346,-1.5076723e-05,0.2298843,-1.5000136
67,0.23332644,-1.33989815e-05,0.23339257,-1.5000132
68,0.23690534,-1.4250058e-05,0.23696604,-1.5000106
