frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y
0,-5.401671e-08,5.302718e-08,-9.49949e-08,-1.4999999,-1.6577542e-07,1.4999999
1,0.003526304,-1.9300423e-06,0.0035280539,-1.5000005,0.0035248771,1.4999994
2,0.007051062,-3.2586759e-06,0.0070451405,-1.5000015,0.0070486274,1.4999968
3,0.010591676,-5.6519857e-06,0.010590687,-1.5000058,0.010588784,1.4999924
4,0.014124865,-4.0879822e-06,0.014123734,-1.5000069,0.014120031,1.4999919
5,0.0176672,-5.766051e-06,0.017680727,-1.5000062,0.0176351,1.4999913
6,0.021189928,-5.859307e-06,0.021201175,-1.5000067,0.021150373,1.4999907
7,0.024713604,-8.230643e-06,0.02472771,-1.5000081,0.024678139,1.4999875
8,0.028257351,-9.46247e-06,0.028268736,-1.5000107,0.028217858,1.499983
9,0.03179183,-1.0870215e-05,0.031803586,-1.5000112,0.031754866,1.4999834
10,0.034255836,0.00031228692,0.03537071,-1.5000085,0.039569594,1.4967421
11,0.036479443,-0.00034510455,0.038844172,-1.5000088,0.041822463,1.4960227
12,0.037170738,-0.000681989,0.04172937,-1.4998317,0.039850663,1.4947453
13,0.0393813,-0.0012951004,0.0009359941,-1.5065982,0.03820537,1.4937758
14,0.04261523,-0.0016776657,0.023606248,-1.4885072,0.03644061,1.4930854
15,0.045755617,-0.001961618,0.049972452,-1.4687544,0.03465347,1.4926716
16,0.049094863,-0.0020754826,0.07885067,-1.4480146,0.032657813,1.4927157
17,0.04545465,-0.02748594,0.11087005,-1.4262846,0.031437628,1.493472
18,0.047678437,-0.03539301,0.1464988,-1.4036087,0.03104206,1.494684
19,0.05729441,-0.035046082,0.18600643,-1.3800806,0.031028334,1.4962752
20,0.06678161,-0.033894103,0.22943054,-1.3558407,0.031230062,1.4979799
21,0.07642786,-0.032651246,0.27655274,-1.3310722,0.031850148,1.5001196
22,0.08626191,-0.031300224,0.3268856,-1.3059925,0.032836534,1.5025079
23,0.09631244,-0.029823013,0.37967673,-1.2808405,0.034843083,1.5051671
24,0.10660786,-0.028200723,0.43393418,-1.2558595,0.03814107,1.5069938
25,0.11748568,-0.026119746,0.48847783,-1.2312759,0.041740958,1.5079966
26,0.13031076,-0.0223938,0.54202044,-1.2072737,0.04561087,1.5084983
27,0.14508578,-0.017231613,0.59327734,-1.1839703,0.04975006,1.5088371
28,0.16043434,-0.01165273,0.64109725,-1.1613925,0.054069564,1.5091541
29,0.17573309,-0.005733207,0.6846041,-1.1394614,0.058582176,1.509538
30,0.19035724,-0.00049865246,0.72332597,-1.1179885,0.06321378,1.5099462
31,0.20488906,0.004896596,0.75728756,-1.0966862,0.067936376,1.5103314
32,0.21888563,0.009835601,0.7870425,-1.075197,0.072690405,1.5107349
33,0.2326017,0.0146237165,0.8136275,-1.0531344,0.07741216,1.5111524
34,0.246196,0.019528925,0.83844215,-1.0301329,0.0820591,1.511567
35,0.25935084,0.02396968,0.86306846,-1.0058957,0.086516365,1.5119276
36,0.27226287,0.028251931,0.8890666,-0.98023295,0.09071106,1.5123031
37,0.28500307,0.032344654,0.917781,-0.9530824,0.09454267,1.5126166
38,0.29757708,0.036271393,0.95019436,-0.9245104,0.09786126,1.5129467
39,0.31005347,0.040026307,0.98684174,-0.8946972,0.102446094,1.5133598
40,0.32086578,0.043533072,1.027798,-0.86390793,0.1048911,1.513104
41,0.0,0.0,0.0,-1.5,0.0,1.5
42,0.0,0.0,0.0,-1.5,0.0,1.5
43,0.0,0.0,0.0,-1.5,0.0,1.5
44,0.0,0.0,0.0,-1.5,0.0,1.5
45,0.0,0.0,0.0,-1.5,0.0,1.5
46,0.0,0.0,0.0,-1.5,0.0,1.5
47,0.0,0.0,0.0,-1.5,0.0,1.5
48,0.0,0.0,0.0,-1.5,0.0,1.5
49,0.0,0.0,0.0,-1.5,0.0,1.5
50,0.0,0.0,0.0,-1.5,0.0,1.5
51,0.0,0.0,0.0,-1.5,0.0,1.5
52,0.0,0.0,0.0,-1.5,0.0,1.5
53,0.0,0.0,0.0,-1.5,0.0,1.5
54,0.0,0.0,0.0,-1.5,0.0,1.5
55,0.0,0.0,0.0,-1.5,0.0,1.5
56,0.0,0.0,0.0,-1.5,0.0,1.5
57,0.0,0.0,0.0,-1.5,0.0,1.5
58,0.0,0.0,0.0,-1.5,0.0,1.5
59,0.0,0.0,0.0,-1.5,0.0,1.5
60,0.0,0.0,0.0,-1.5,0.0,1.5
61,0.0,0.0,0.0,-1.5,0.0,1.5
62,0.0,0.0,0.0,-1.5,0.0,1.5
63,0.0,0.0,0.0,-1.5,0.0,1.5
64,0.0,0.0,0.0,-1.5,0.0,1.5
65,0.0,0.0,0.0,-1.5,0.0,1.5
66,0.0,0.0,0.0,-1.5,0.0,1.5
67,0.0,0.0,0.0,-1.5,0.0,1.5
68,0.0,0.0,0.0,-1.5,0.0,1.5
69,0.0,0.0,0.0,-1.5,0.0,1.5
70,0.0,0.0,0.0,-1.5,0.0,1.5
71,0.0,0.0,0.0,-1.5,0.0,1.5
72,0.0,0.0,0.0,-1.5,0.0,1.5
73,0.0,0.0,0.0,-1.5,0.0,1.5
74,0.0,0.0,0.0,-1.5,0.0,1.5
75,0.0,0.0,0.0,-1.5,0.0,1.5
76,0.0,0.0,0.0,-1.5,0.0,1.5
77,0.0,0.0,0.0,-1.5,0.0,1.5
78,0.0,0.0,0.0,-1.5,0.0,1.5
79,0.0,0.0,0.0,-1.5,0.0,1.5
80,0.0,0.0,0.0,-1.5,0.0,1.5
81,0.0,0.0,0.0,-1.5,0.0,1.5
82,0.0,0.0,0.0,-1.5,0.0,1.5
83,0.0,0.0,0.0,-1.5,0.0,1.5
84,0.0,0.0,0.0,-1.5,0.0,1.5
85,0.0,0.0,0.0,-1.5,0.0,1.5
86,0.0,0.0,0.0,-1.5,0.0,1.5
87,0.0,0.0,0.0,-1.5,0.0,1.5
88,0.0,0.0,0.0,-1.5,0.0,1.5
89,0.0,0.0,0.0,-1.5,0.0,1.5
90,0.0,0.0,0.0,-1.5,0.0,1.5
91,0.0,0.0,0.0,-1.5,0.0,1.5
92,0.0,0.0,0.0,-1.5,0.0,1.5
93,0.0,0.0,0.0,-1.5,0.0,1.5
94,0.0,0.0,0.0,-1.5,0.0,1.5
95,0.0,0.0,0.0,-1.5,0.0,1.5
96,0.0,0.0,0.0,-1.5,0.0,1.5
97,0.0,0.0,0.0,-1.5,0.0,1.5
98,0.0,0.0,0.0,-1.5,0.0,1.5
99,0.0,0.0,0.0,-1.5,0.0,1.5
100,0.0,0.0,0.0,-1.5,0.0,1.5
101,0.0,0.0,0.0,-1.5,0.0,1.5
102,0.0,0.0,0.0,-1.5,0.0,1.5
103,0.0,0.0,0.0,-1.5,0.0,1.5
104,0.0,0.0,0.0,-1.5,0.0,1.5
105,0.0,0.0,0.0,-1.5,0.0,1.5
106,0.0,0.0,0.0,-1.5,0.0,1.5
107,0.0,0.0,0.0,-1.5,0.0,1.5
108,0.0,0.0,0.0,-1.5,0.0,1.5
109,-3.3527613e-08,1.4707621e-07,4.8428774e-08,-1.4999999,3.1664968e-08,1.5000001
110,0.0035319068,-1.1512893e-06,0.003530372,-1.500001,0.0035291929,1.4999988
111,0.00705716,-6.5060885e-07,0.007062344,-1.5000007,0.007060511,1.4999988
112,0.010604592,-3.9693914e-06,0.010603752,-1.5000024,0.0106022395,1.4999965
113,0.014133861,-4.8888614e-06,0.014136471,-1.5000007,0.014133645,1.4999967
114,0.017678266,-3.5818011e-06,0.017639326,-1.5000011,0.01765825,1.4999973
115,0.021204185,-4.6081623e-06,0.021163141,-1.5000008,0.021183465,1.4999955
116,0.024733512,-6.374212e-06,0.024692839,-1.5000007,0.024716465,1.4999945
117,0.02827948,-9.979485e-06,0.028240317,-1.5000015,0.028258719,1.4999925
118,0.031809673,-9.257703e-06,0.03177323,-1.5000005,0.031796332,1.4999944
119,0.03532467,-1.459632e-05,0.035321295,-1.5000004,0.03533638,1.4999912
120,0.038837567,-1.9390493e-05,0.038845517,-1.5000006,0.03885699,1.4999845
121,0.042379618,-1.6724734e-05,0.042376764,-1.5000011,0.042404346,1.4999799
122,0.04589746,-1.6525315e-05,0.04591965,-1.5000017,0.04596492,1.4999746
123,0.04944727,-1.5127262e-05,0.049457803,-1.5000008,0.04950404,1.4999796
124,0.05296722,-1.1394361e-05,0.053003095,-1.4999995,0.053004887,1.4999814
125,0.056553487,-6.0303864e-06,0.056524068,-1.500002,0.056547694,1.4999758
126,0.060078945,-6.12063e-06,0.06007211,-1.5000018,0.06012489,1.499977
127,0.0635918,-8.155512e-06,0.06364547,-1.5000004,0.06366776,1.4999728
128,0.06714086,-9.089519e-06,0.06718549,-1.5000011,0.06719056,1.4999707
129,0.07068651,-7.767485e-06,0.070709825,-1.5000037,0.070729665,1.4999648
130,0.07422901,-7.617229e-06,0.0742556,-1.5000092,0.07429291,1.4999677
131,0.07775329,-9.809308e-06,0.0778192,-1.50001,0.077834725,1.4999621
132,0.081297696,-9.560841e-06,0.08135867,-1.5000097,0.08135827,1.4999583
133,0.08486983,-1.0319665e-05,0.084882855,-1.5000118,0.084905095,1.4999533
134,0.08840806,-9.963274e-06,0.088427976,-1.5000161,0.08843616,1.4999484
135,0.091931015,-1.2343997e-05,0.09199376,-1.5000157,0.09197341,1.4999508
136,0.09547429,-1.15889125e-05,0.0955352,-1.5000175,0.09549479,1.4999484
137,0.09906337,-1.0531585e-05,0.09905924,-1.50002,0.09903942,1.499946
138,0.10260049,-9.322168e-06,0.102605745,-1.5000257,0.10262315,1.4999461
139,0.10612438,-1.1465054e-05,0.10617316,-1.5000267,0.10616273,1.499944
140,0.10966903,-1.1059616e-05,0.10971309,-1.5000256,0.10968818,1.4999404
141,0.11324255,-9.89862e-06,0.113236435,-1.500025,0.11323229,1.4999338
142,0.11678398,-8.070798e-06,0.11678335,-1.5000242,0.11679537,1.4999366
143,0.12030363,-1.0106756e-05,0.12035343,-1.5000244,0.12033687,1.4999312
144,0.12384719,-1.02170525e-05,0.12389479,-1.5000228,0.12385955,1.4999267
145,0.12742469,-9.21922e-06,0.12741718,-1.500024,0.1274056,1.4999205
146,0.13094777,-6.4158503e-06,0.1309605,-1.5000255,0.13093169,1.4999171
147,0.13445742,-6.000766e-06,0.13453777,-1.5000241,0.13447553,1.4999174
148,0.13798833,-2.8128634e-06,0.1380766,-1.5000273,0.13799855,1.4999168
149,0.14157192,-3.6551646e-06,0.14160083,-1.5000298,0.14154385,1.4999169
150,0.14510556,-2.6718772e-06,0.14514458,-1.5000361,0.14507571,1.4999169
151,0.14862227,-4.7776775e-06,0.14871006,-1.5000337,0.14864482,1.4999206
152,0.15217006,-6.984941e-06,0.15225002,-1.5000395,0.15217017,1.4999197
153,0.15574801,-6.5823333e-06,0.1557719,-1.5000441,0.15570107,1.4999186
154,0.1592899,-7.8494195e-06,0.15932024,-1.5000494,0.15924685,1.4999174
155,0.16281214,-1.2357581e-05,0.16286865,-1.5000539,0.16277811,1.4999185
156,0.16635697,-1.5788173e-05,0.16640984,-1.5000485,0.1663211,1.4999195
157,0.16992582,-1.655145e-05,0.16993147,-1.5000448,0.16984418,1.4999185
158,0.17346585,-1.7934144e-05,0.17347807,-1.5000408,0.17337534,1.4999181
159,0.17698893,-2.1010761e-05,0.17702825,-1.5000408,0.17691639,1.4999164
160,0.18053411,-2.83572e-05,0.18057775,-1.5000362,0.18046378,1.4999188
161,0.18410546,-2.60515e-05,0.18410005,-1.5000364,0.18400382,1.4999207
162,0.18764661,-3.3045748e-05,0.18764715,-1.5000343,0.18752977,1.4999217
163,0.19116807,-3.795862e-05,0.19120769,-1.5000346,0.19107375,1.4999214
164,0.19471401,-4.4313667e-05,0.19475096,-1.5000337,0.19461432,1.4999218
165,0.1982741,-4.72706e-05,0.19827382,-1.5000353,0.1981568,1.4999241
166,0.20181614,-4.232567e-05,0.20182407,-1.5000373,0.20167935,1.4999235
167,0.20533898,-3.888919e-05,0.20537704,-1.5000385,0.20522268,1.4999204
168,0.20888637,-3.3859644e-05,0.2089216,-1.5000366,0.20880072,1.4999217
169,0.21243611,-3.2463227e-05,0.21244253,-1.5000379,0.21234079,1.499921
170,0.21597886,-3.4511424e-05,0.21598944,-1.5000391,0.2158612,1.4999174
171,0.21949874,-3.7474994e-05,0.21954536,-1.5000378,0.21940719,1.499916
172,0.2230463,-3.8674505e-05,0.22308472,-1.500038,0.22297418,1.4999167
173,0.22660911,-3.8411377e-05,0.22660954,-1.5000397,0.22651437,1.4999149
174,0.23015247,-3.8698894e-05,0.23016036,-1.5000426,0.23003717,1.4999114
175,0.23367481,-4.1744e-05,0.23369893,-1.5000465,0.23358269,1.4999111
176,0.23722245,-4.3060347e-05,0.23724954,-1.5000396,0.23715803,1.4999125
177,0.24079521,-4.218394e-05,0.240765,-1.5000368,0.24069808,1.4999098
178,0.24433681,-4.2317755e-05,0.24431409,-1.5000373,0.24421991,1.4999053
179,0.2478567,-4.588723e-05,0.24785869,-1.5000367,0.24776216,1.4999007
180,0.251402,-4.8812464e-05,0.25140074,-1.5000349,0.25134218,1.499901
181,0.25496894,-4.951303e-05,0.2549208,-1.5000353,0.2548845,1.4998996
182,0.2585047,-4.928958e-05,0.25846633,-1.5000361,0.2584048,1.4998956
183,0.2620285,-5.1700317e-05,0.26202196,-1.5000358,0.26194933,1.499895
184,0.26557192,-5.1574687e-05,0.26556534,-1.5000331,0.26553193,1.4998968
185,0.26915842,-5.053213e-05,0.26908997,-1.5000339,0.26907215,1.4998953
186,0.2726996,-5.2076437e-05,0.27263385,-1.5000345,0.27259383,1.4998918
187,0.27622062,-5.5500648e-05,0.2761837,-1.5000335,0.2761383,1.4998884
188,0.27976704,-5.695026e-05,0.2797271,-1.5000302,0.27970892,1.4998888
189,0.2833394,-5.498221e-05,0.28324828,-1.5000321,0.283249,1.4998866
190,0.28687876,-5.7724857e-05,0.2867968,-1.5000331,0.28676954,1.4998826
191,0.2904019,-6.1082064e-05,0.29034773,-1.5000317,0.29031578,1.4998821
192,0.2939497,-6.7697074e-05,0.2938868,-1.5000315,0.29389235,1.4998841
193,0.29750988,-6.802977e-05,0.29741114,-1.500033,0.29743016,1.4998803
194,0.30105236,-6.578416e-05,0.30095544,-1.5000368,0.3009534,1.4998748
195,0.3045736,-6.505511e-05,0.30450472,-1.5000358,0.30449843,1.4998688
196,0.30812243,-6.5885746e-05,0.3080463,-1.5000348,0.3080647,1.4998702
197,0.31168947,-6.548975e-05,0.31156987,-1.5000353,0.31160575,1.4998653
198,0.31522873,-6.664151e-05,0.31511468,-1.5000391,0.3151275,1.4998605
199,0.31875116,-6.850486e-05,0.3186669,-1.5000381,0.318674,1.499855
200,0.322297,-6.828965e-05,0.32220876,-1.5000373,0.3222295,1.4998529
201,0.32587835,-6.7145156e-05,0.32573235,-1.5000381,0.32577452,1.4998567
202,0.32941696,-6.903362e-05,0.3292782,-1.5000428,0.32929498,1.4998587
203,0.33294126,-7.19739e-05,0.33282146,-1.5000426,0.33284244,1.499864
204,0.33648655,-7.80252e-05,0.3363647,-1.5000414,0.3363956,1.4998658
205,0.34005508,-7.5280856e-05,0.33988613,-1.5000426,0.33993942,1.4998671
206,0.34359533,-8.1345934e-05,0.34343302,-1.5000465,0.3434605,1.499867
207,0.34711656,-8.5716456e-05,0.3469869,-1.500047,0.3470102,1.4998666
208,0.35066348,-9.02259e-05,0.35053277,-1.5000445,0.35055616,1.4998676
209,0.35421875,-9.493702e-05,0.3540522,-1.5000447,0.35410002,1.4998704
210,0.35776144,-8.904638e-05,0.35759956,-1.5000452,0.3576222,1.4998686
211,0.36128202,-8.6549364e-05,0.36115733,-1.5000445,0.36117035,1.4998683
212,0.36482936,-8.136519e-05,0.36470044,-1.5000417,0.3647224,1.499869
213,0.36837375,-7.861431e-05,0.3682217,-1.5000427,0.3682645,1.4998715
214,0.37191868,-7.9634774e-05,0.37177074,-1.5000448,0.37178618,1.4998701
215,0.37543973,-8.2027946e-05,0.375306,-1.5000494,0.3753348,1.4998688
216,0.37898827,-8.8772314e-05,0.37884587,-1.5000429,0.37887523,1.4998693
217,0.38252723,-9.104416e-05,0.382366,-1.5000404,0.38241914,1.4998705
218,0.38607192,-8.5402244e-05,0.38591298,-1.5000387,0.38594177,1.4998685
219,0.38959175,-8.321203e-05,0.38949874,-1.5000371,0.38948688,1.4998646
220,0.3931395,-7.938651e-05,0.3930396,-1.5000381,0.39302993,1.4998643
221,0.3966867,-7.879739e-05,0.39656258,-1.5000404,0.3965734,1.4998643
222,0.4002333,-7.535897e-05,0.4001076,-1.5000466,0.40009528,1.4998637
223,0.40375367,-7.62656e-05,0.4036672,-1.500044,0.4036433,1.4998608
224,0.40730345,-7.542322e-05,0.4072077,-1.5000479,0.4071998,1.4998624
225,0.41086292,-7.4902346e-05,0.41073233,-1.5000505,0.41074187,1.4998636
