frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,f4_x,f4_y
0,-1.7508864e-07,1.2129021e-08,-2.9802322e-08,-1.4999999,-1.8626451e-08,1.4999999,-5.5879354e-08,-3.0,1.1175871e-08,3.0000002
1,0.0035256017,3.306268e-07,0.0035274494,-1.5,0.0035253093,1.4999995,0.003526261,-2.999999,0.003526493,3.000001
2,0.007049596,-2.2816894e-06,0.007049462,-1.5000027,0.0070496583,1.4999963,0.007048876,-3.0000017,0.007047056,3.0
3,0.01059412,-7.678616e-06,0.010593414,-1.500008,0.0105926655,1.4999907,0.010591695,-3.0000048,0.010592203,2.9999957
4,0.014124529,-7.946663e-06,0.014124444,-1.500008,0.014121588,1.4999901,0.014124673,-3.0000043,0.014123466,2.9999945
5,0.017667716,-8.039846e-06,0.017677432,-1.5000101,0.017669016,1.4999884,0.017654907,-3.0000055,0.017681131,2.9999952
6,0.021191968,-8.847819e-06,0.021202043,-1.5000106,0.02119312,1.4999871,0.021183219,-3.0000057,0.021204753,2.9999938
7,0.024718907,-1.0442076e-05,0.024727073,-1.5000119,0.024717377,1.4999843,0.024707086,-3.0000072,0.024730489,2.9999921
8,0.028260913,-1.5213998e-05,0.028268531,-1.5000162,0.028256431,1.4999784,0.028249456,-3.0000117,0.02827248,2.9999866
9,0.031792417,-1.5439196e-05,0.031799562,-1.500016,0.03179006,1.4999801,0.031784028,-3.0000112,0.031804994,2.9999876
10,0.035344463,-1.6580074e-05,0.035310227,-1.5000186,0.035343185,1.4999775,0.03532422,-3.0000117,0.035359796,2.9999862
11,0.038539592,-0.00011862596,0.052784905,-1.494626,0.038050845,1.4998535,0.038844742,-3.0000129,0.038833585,2.9996107
12,0.04029762,0.00014906145,0.05710233,-1.494504,0.039032035,1.4998803,0.042398803,-3.0000105,0.040145025,3.001601
13,0.042695496,-0.00011189701,0.059752952,-1.4945596,0.03856743,1.5004895,0.04594376,-3.0000095,0.040799946,3.0029967
14,0.04548605,-0.00071870047,-0.17302439,-1.9823506,0.0381392,1.501199,0.049483478,-3.0000086,0.04264751,3.0033224
15,0.04812786,-0.001320601,-0.75882536,-2.4878547,0.038619146,1.5016413,0.053005382,-3.0000093,0.04524728,3.0035083
16,0.050621465,-0.0019162842,-1.0968314,-2.745614,0.03958177,1.5022281,0.05652506,-3.0000186,0.14182252,3.0539474
17,0.052968048,-0.002505111,-1.4664526,-2.93206,0.040146213,1.5035052,0.060137026,-3.0000184,-10.786385,-28.71047
18,0.055168506,-0.0030886102,-1.790243,-3.233153,0.28005153,1.4463098,0.063735016,-2.9999151,-22.22352,-58.970806
19,0.057577524,-0.003144593,-2.185241,-3.414138,0.4630817,1.3370141,0.06691959,-2.999503,-165.93614,-14.093979
20,0.06047192,-0.0032713679,-2.4953563,-3.720443,0.5595901,1.3367853,0.070120424,-2.9994662,-383.84915,51.942444
21,0.06392427,-0.003452476,-2.8153236,-3.977695,0.80031073,1.3211515,0.07306132,-2.9993742,2147483600.0,-0.05755549
22,0.06743221,-0.0035919591,-3.2514343,-4.1879945,0.9661589,1.179849,0.035501987,-2.929853,nan,nan
23,0.07126393,-0.0035830217,-3.5469549,-4.5019636,1.0575533,1.1766919,0.36216044,-3.2416196,nan,nan
24,0.07470724,-0.0037863415,-3.9414854,-4.690455,1.296514,1.1605997,0.4835459,-4.016928,nan,nan
25,0.0780283,-0.0042008986,-4.2933254,-4.9620013,1.4166756,1.0455517,0.45973456,-4.978807,nan,nan
26,0.0795441,-0.004405246,-4.5643215,-5.252297,1.5602214,1.0900464,0.63273835,-5.5376663,nan,nan
27,0.08276797,-0.0046335873,-4.948213,-5.4469624,1.8089038,1.0203527,0.64842165,-6.332534,nan,nan
28,0.08603246,-0.0047702887,-5.375578,-5.6792927,1.9433796,0.88211924,0.25728762,-6.863793,nan,nan
29,0.08930725,-0.004855644,-5.6827826,-6.0044494,2.0402932,0.88274276,-0.0034527406,-7.3610024,nan,nan
30,0.09296434,-0.0049008876,-6.02782,-6.2340784,2.272984,0.88693565,-0.3623373,-7.8593063,nan,nan
31,0.096874855,-0.004977411,-6.4314556,-6.4672446,2.4357498,0.76086104,-0.6715576,-8.483305,nan,nan
32,0.09955992,-0.0040022545,-6.710976,-6.768942,2.547982,0.7749743,-0.92686456,-8.964695,nan,nan
33,0.09990021,-0.004031133,-7.061638,-6.968187,2.7894814,0.74622357,-1.2777355,-9.405068,nan,nan
34,0.100093715,-0.0040465645,-7.486006,-7.169828,2.9490957,0.60784346,-1.6510807,-10.002318,nan,nan
35,0.10033852,-0.0038193846,-7.8394127,-7.475815,3.0278838,0.56000614,-1.9206133,-10.526985,nan,nan
36,0.10147628,-0.0037798136,-8.14268,-7.7780066,3.1932168,0.60399264,-2.2668803,-10.995529,nan,nan
37,0.104546495,-0.0036075152,-8.538271,-7.9802403,3.4458606,0.55624294,-2.5893788,-11.60902,nan,nan
38,0.108513616,-0.00365094,-8.907756,-8.24926,3.5949154,0.42941898,-2.8370376,-12.099346,nan,nan
39,0.11150083,-0.0038209725,-9.200068,-8.533646,3.7087314,0.43187872,-3.1677542,-12.539909,nan,nan
40,0.11475283,-0.00406316,-9.580474,-8.717728,3.9423423,0.40528423,-3.5539606,-13.104718,nan,nan
41,0.11787173,-0.0042558615,-9.978445,-8.937724,4.094445,0.27645767,-3.863056,-13.687945,nan,nan
42,0.12142899,-0.004306685,-10.301342,-9.244464,4.176585,0.24491818,-4.153807,-14.13902,nan,nan
43,0.12491074,-0.0043551936,-10.603991,-9.54199,4.346512,0.28496677,-4.5201154,-14.679032,nan,nan
